File_ID,Latitude_H,Longitude_H,WMO_ID,Latitude_NOAA,Longitude_NOAA,Distance
6501,33.636,-91.756,720175-53919,33.636,-91.756,0
6541,38.958,-94.371,720306-53879,38.958,-94.371,0
6640,28.474,-82.454,722014-12818,28.474,-82.454,0
6668,35.14,-90.236,722054-53959,35.14,-90.236,0
6678,30.393,-86.467,722069-53853,30.393,-86.467,0
6687,32.899,-80.041,722080-13880,32.899,-80.041,0
6697,36.682,-101.505,722095-03030,36.682,-101.505,0
6714,27.913,-82.686,722116-12873,27.913,-82.686,0
6744,41.351,-71.806,722151-14794,41.351,-71.806,0
6772,34.272,-83.83,722185-53838,34.272,-83.83,0
6783,33.354,-84.569,722197-53819,33.354,-84.569,0
6840,33.178,-86.782,722300-53864,33.178,-86.782,0
6844,30.029,-91.885,722314-53915,30.029,-91.885,0
6854,30.344,-89.822,722330-53865,30.344,-89.822,0
6870,32.338,-90.221,722354-13927,32.338,-90.221,0
6891,30.068,-95.556,722429-53910,30.068,-95.556,0
6895,30.361,-95.418,722444-53902,30.361,-95.418,0
6899,30.744,-95.587,722447-53903,30.744,-95.587,0
6901,32.032,-96.399,722469-53912,32.032,-96.399,0
6909,32.713,-96.269,722489-53911,32.713,-96.269,0
6929,33.183,-96.59,722541-53914,33.183,-96.59,0
6950,33.209,-97.199,722589-03991,33.209,-97.199,0
6963,30.912,-102.917,722618-23091,30.912,-102.917,0
6969,31.925,-102.387,722648-03031,31.925,-102.387,0
6994,32.259,-107.721,722725-23078,32.259,-107.721,0
7032,33.976,-117.625,722899-03179,33.976,-117.625,0
7057,34.733,-76.657,723037-93765,34.733,-76.657,0
7094,34.984,-81.056,723117-53871,34.984,-81.056,0
7095,34.672,-82.881,723118-53850,34.672,-82.881,0
7100,34.254,-82.153,723124-53874,34.254,-82.153,0
7108,35.197,-81.156,723147-53870,35.197,-81.156,0
7116,36.048,-79.474,723174-93783,36.048,-79.474,0
7119,35.015,-80.624,723194-53872,35.015,-80.624,0
7131,36.77,-90.322,723300-03975,36.77,-90.322,0
7139,36.48,-82.399,723350-13877,36.48,-82.399,0
7152,35.257,-93.095,723429-53920,35.257,-93.095,0
7155,36.29,-94.312,723436-53922,36.29,-94.312,0
7156,36.371,-92.472,723439-53918,36.371,-92.472,0
7182,35.541,-97.647,723544-03954,35.541,-97.647,0
7193,34.558,-98.417,723575-03950,34.558,-98.417,0
7202,35.695,-101.396,723635-03024,35.695,-101.396,0
7239,36.311,-119.623,723898-53119,36.311,-119.623,0
7280,39.873,-75.227,724080-13739,39.873,-75.227,0
7286,38.69,-75.362,724093-13764,38.69,-75.362,0
7287,40.876,-74.283,724094-54743,40.876,-74.283,0
7311,39.044,-84.672,724210-93814,39.044,-84.672,0
7321,38.365,-82.555,724250-03860,38.365,-82.555,0
7329,41.563,-83.477,724287-04848,41.563,-83.477,0
7347,38.93,-90.433,724347-53904,38.93,-90.433,0
7350,39.585,-85.8,724356-53866,39.585,-85.8,0
7354,39.143,-86.617,724375-03893,39.143,-86.617,0
7357,39.825,-86.296,724384-53842,39.825,-86.296,0
7361,39.845,-89.684,724390-93822,39.845,-89.684,0
7414,38.072,-102.687,724636-03013,38.072,-102.687,0
7423,39.228,-106.316,724673-93009,39.228,-106.316,0
7424,40.044,-107.888,724674-94050,40.044,-107.888,0
7426,39.23,-106.871,724676-93073,39.23,-106.871,0
7432,39.241,-102.282,724689-03026,39.241,-102.282,0
7463,36.212,-115.194,724846-53123,36.212,-115.194,0
7482,38.504,-122.811,724957-23213,38.504,-122.811,0
7489,40.821,-72.867,725016-54790,40.821,-72.867,0
7528,41.626,-80.212,725104-04843,41.626,-80.212,0
7531,40.238,-75.555,725109-54782,40.238,-75.555,0
7533,40.33,-75.123,725113-54786,40.33,-75.123,0
7534,39.919,-76.877,725114-93778,39.919,-76.877,0
7538,41.046,-78.411,725119-54792,41.046,-78.411,0
7549,43.35,-76.383,725146-54773,43.35,-76.383,0
7553,42.108,-77.984,725157-54757,42.108,-77.984,0
7555,40.65,-75.448,725170-14737,40.65,-75.448,0
7562,42.644,-77.053,725194-54778,42.644,-77.053,0
7571,41.346,-82.179,725214-04849,41.346,-82.179,0
7573,40.873,-81.889,725216-04842,40.873,-81.889,0
7574,39.361,-84.521,725217-53855,39.361,-84.521,0
7575,40.47,-81.422,725224-04852,40.47,-81.422,0
7585,41.336,-84.429,725254-04851,41.336,-84.429,0
7599,38.564,-90.149,725314-03960,38.564,-90.149,0
7603,39.474,-88.272,725317-53802,39.474,-88.272,0
7606,41.454,-86.998,725327-04846,41.454,-86.998,0
7622,42.224,-83.74,725374-94889,42.224,-83.74,0
7652,41.137,-75.377,725434-54789,41.137,-75.377,0
7671,41.99,-93.619,725472-94989,41.99,-93.619,0
7704,41.763,-96.18,725527-94978,41.763,-96.18,0
7786,43.279,-70.924,726056-54791,43.279,-70.924,0
7805,42.807,-72.001,726163-54770,42.807,-72.001,0
7816,44.933,-74.848,726223-94725,44.933,-74.848,0
7838,45.072,-83.565,726390-94849,45.072,-83.565,0
7861,46.547,-90.918,726419-94929,46.547,-90.918,0
7862,42.759,-87.818,726424-94818,42.759,-87.818,0
7863,43.775,-87.849,726425-04841,43.775,-87.849,0
7870,43.156,-90.678,726438-94994,43.156,-90.678,0
7892,43.168,-95.21,726500-14972,43.168,-95.21,0
7906,43.026,-102.52,726517-94039,43.026,-102.52,0
7907,43.389,-99.843,726518-94990,43.389,-99.843,0
7938,44.638,-90.188,726574-94985,44.638,-90.188,0
7962,44.381,-106.72,726654-94054,44.381,-106.72,0
7979,46.352,-104.261,726777-94055,46.352,-104.261,0
7987,42.727,-114.455,726816-04110,42.727,-114.455,0
7999,45.196,-123.134,726881-94273,45.196,-123.134,0
8000,45.826,-119.261,726883-04113,45.826,-119.261,0
8034,45.813,-88.113,727437-94893,45.813,-88.113,0
8083,46.011,-102.652,727584-94038,46.011,-102.652,0
8120,48.461,-119.521,727890-94197,48.461,-119.521,0
8133,47.923,-122.283,727937-24222,47.923,-122.283,0
8184,36.985,-120.111,745046-93242,36.985,-120.111,0
8186,33.038,-116.916,745056-53120,33.038,-116.916,0
8247,30.337,-81.513,747820-53860,30.337,-81.513,0
